review_id,app_id,rating,posted_at,has_developer_reply,helpful_count
123,402,3,2024-06-02,No,1
124,330,4,2023-11-26,No,3
125,438,5,2022-02-22,No,0
126,76,5,12/08/2021,No,0
127,333,5,2023-12-26,No,5
128,157,5,04/15/2024,No,4
129,328,3,2024-04-22,No,4
130,398,5,2024-01-16,No,0
131,76,4,2023-10-22,Yes,1
132,89,5,2024-02-12,No,3
133,72,5,2023-08-31,No,0
134,328,4,12/22/2024,Yes,0
135,262,5,11/25/2024,No,1
136,319,4,2023-04-08,No,10
137,460,5,2023-02-17,Yes,2
138,13,4,2024-08-23,Yes,1
139,294,5,04/02/2024,No,0
140,412,5,2024-06-14,No,6
141,237,4,12/11/2019,No,0
142,198,4,04/30/2023,Yes,1
143,213,4,2024-10-02,No,1
144,81,5,2024-01-11,No,3
145,405,4,2023-09-23,No,1
146,465,5,2024-02-13,No,1
147,218,3,01/03/2024,No,0
148,402,3,2022-02-21,No,1
149,108,5,2023-11-05,No,2
150,328,3,2024-01-03,Yes,11
151,13,4,2024-12-22,No,1
152,206,3,11/16/2022,No,0
153,11,4,07/18/2021,No,2
154,23,5,2024-04-06,No,0
155,40,4,2024-06-14,No,0
156,156,5,09/10/2024,No,0
157,174,4,2020-10-31,Yes,0
158,197,5,2024-09-29,Yes,0
159,402,4,2023-12-04,No,13
160,344,4,2024-09-29,No,0
161,73,3,2024-07-21,No,0
162,375,5,2020-08-26,Yes,4
163,153,5,2022-12-04,No,1
164,95,5,2019-10-18,No,2
165,450,4,2022-09-06,Yes,0
166,278,4,09/03/2023,No,2
167,276,3,2024-05-30,No,1
168,402,5,2024-03-13,No,0
169,3,5,2024-10-23,No,1
170,95,3,2023-11-10,Yes,1
171,193,4,2022-11-16,No,1
172,143,4,10/07/2024,Yes,1
173,217,4,10/13/2024,Yes,0
174,445,3,2024-09-08,No,4
175,190,3,2022-12-29,No,0
176,97,4,2023-03-23,No,1
177,197,4,03/19/2024,No,15
178,469,4,10/31/2022,No,1
179,217,5,08/25/2023,No,5
180,13,5,2024-01-17,No,1
181,302,3,2023-03-13,No,1
182,244,1,2023-06-26,No,5
183,11,4,2024-08-26,Yes,0
184,209,2,2021-01-04,Yes,5
185,440,5,12/15/2022,No,4
186,237,5,2023-04-22,No,1
187,78,4,2024-07-09,No,6
188,140,5,10/25/2019,No,0
189,402,3,2023-09-03,No,1
190,117,4,2023-04-21,No,0
191,14,4,2024-07-09,No,0
192,13,3,04/10/2024,No,1
193,236,4,2023-06-13,No,2
194,148,3,2024-12-02,Yes,0
195,145,3,2023-08-01,No,3
196,284,4,2023-05-06,No,1
197,160,5,2023-11-02,No,2
198,197,5,2021-11-11,No,3
199,435,4,2021-07-08,No,7
200,466,4,2023-08-07,No,2
201,97,4,2024-07-24,No,4
202,418,5,2024-10-02,No,3
203,143,5,2024-03-18,Yes,3
204,234,5,2024-12-22,No,3
205,135,5,2023-02-08,No,2
206,359,5,2024-10-05,Yes,4
207,147,5,2024-10-26,No,4
208,406,5,2024-09-21,Yes,2
209,72,3,07/10/2024,No,1
210,291,3,08/26/2024,No,14
211,402,4,2021-08-14,Yes,0
212,195,2,08/30/2024,Yes,1
213,71,4,2023-10-22,No,2
214,226,4,2023-03-05,No,22
215,14,4,2023-09-15,No,2
216,185,3,2023-09-21,No,1
217,209,5,2024-10-25,No,3
218,418,5,2021-10-07,No,0
219,318,4,2022-03-13,No,1
220,462,3,2022-12-05,No,0
221,35,4,2024-02-11,No,6
222,318,5,2022-10-07,No,0
223,276,4,2024-03-19,No,2
224,286,5,2023-01-18,No,0
225,73,5,04/23/2024,No,0
226,190,5,2023-10-26,No,1
227,13,3,2024-02-19,Yes,1
228,414,4,2023-08-12,No,2
229,479,5,2023-05-22,No,5
230,108,5,2023-08-07,No,3
231,376,3,2023-09-05,Yes,12
232,95,5,05/05/2021,No,0
233,119,4,2020-07-24,No,1
234,185,4,10/10/2022,No,0
235,22,5,2024-05-13,No,7
236,353,4,2024-08-12,Yes,1
237,490,4,2024-10-11,Yes,0
238,239,4,2022-02-22,No,1
239,154,5,2024-12-01,No,1
240,446,4,08/26/2022,No,7
241,206,4,2023-09-16,No,5
242,315,5,2023-11-11,Yes,1
243,221,5,2023-12-24,No,1
244,358,5,05/22/2023,No,0
245,403,4,2023-11-04,No,0
246,56,3,01/14/2023,No,0
247,67,4,2023-09-10,No,1
248,131,4,2024-01-03,No,0
249,500,5,2022-11-21,No,3
250,401,3,2024-06-09,No,2
251,121,5,2024-06-01,Yes,0
252,190,5,2024-05-26,No,0
253,401,4,2024-10-18,No,1
254,177,2,2022-03-11,No,1
255,291,5,2023-11-16,Yes,2
256,256,5,2024-12-07,No,3
257,465,4,2022-04-20,No,2
258,119,5,10/29/2022,No,4
259,256,3,2023-06-24,No,3
260,277,4,2024-10-19,Yes,3
261,396,4,12/22/2022,No,0
262,380,4,2024-03-02,No,3
263,41,5,07/26/2024,No,0
264,11,4,2023-12-08,No,1
265,374,5,2024-06-22,No,7
266,52,3,2022-06-26,Yes,9
267,95,5,2021-01-24,Yes,1
268,384,5,12/04/2021,No,3
269,234,5,2022-03-08,No,4
270,157,5,2022-12-25,No,1
271,243,2,2024-12-30,Yes,1
272,361,4,2024-10-31,No,3
273,28,5,2023-09-13,No,16
274,72,4,2024-02-29,No,1
275,79,5,2023-01-22,No,2
276,460,4,2024-07-15,No,1
277,360,3,2024-12-06,No,1
278,485,4,2020-11-26,Yes,2
279,234,4,2023-05-06,No,7
280,108,5,2024-05-08,No,1
281,331,5,2024-03-23,No,1
282,108,5,2024-05-11,No,12
283,272,5,2024-08-29,No,6
284,65,4,2023-12-02,No,0
285,99,4,05/30/2024,No,1
286,78,5,2024-03-07,No,0
287,484,4,2024-07-19,No,1
288,127,5,06/02/2024,No,2
289,379,3,2020-11-26,No,8
290,333,4,2024-11-30,No,8
291,257,5,09/16/2022,No,1
292,14,5,12/06/2024,Yes,0
293,343,5,2023-10-16,No,2
294,190,4,2024-05-23,No,2
295,209,3,2024-01-16,No,1
296,357,5,2024-11-15,No,1
297,253,5,08/23/2024,Yes,7
298,126,4,08/11/2024,No,1
299,364,5,2023-11-10,Yes,1
300,4,4,2022-05-14,Yes,4
301,355,5,2024-08-07,Yes,0
302,402,4,2023-06-16,Yes,0
303,67,3,07/09/2024,No,0
304,197,5,2020-08-15,No,0
305,41,4,2024-05-22,No,7
306,314,2,2024-12-29,No,1
307,251,4,2024-12-21,No,1
308,217,4,11/13/2022,Yes,6
309,72,4,2023-06-11,No,1
310,152,5,2023-04-01,No,3
311,465,5,10/28/2022,No,1
312,214,5,2024-04-10,No,0
313,314,3,2023-08-09,No,0
314,302,2,2022-07-23,No,1
315,329,4,2023-06-13,Yes,3
316,319,4,2024-04-01,Yes,9
317,380,5,2024-08-29,No,7
318,135,4,2022-10-23,No,6
319,49,4,02/27/2024,No,5
320,94,5,2021-08-22,No,1
321,491,3,2023-10-31,No,2
322,482,4,2021-08-24,No,1
323,73,5,12/13/2024,No,0
324,291,4,07/13/2023,No,1
325,131,4,2021-01-31,Yes,23
326,11,5,2023-07-27,No,2
327,276,3,2023-07-09,No,0
328,83,5,2022-02-21,No,9
329,14,5,2024-08-22,No,4
330,121,3,2024-09-20,No,3
331,407,4,2023-06-04,Yes,12
332,500,5,10/16/2024,Yes,1
333,438,5,2024-12-12,No,0
334,157,5,2023-05-24,No,2
335,236,4,2024-08-30,No,3
336,402,4,2022-11-21,Yes,6
337,291,3,2024-09-18,No,0
338,95,5,2019-04-05,No,6
339,352,5,2024-02-13,No,1
340,292,5,2019-01-20,No,2
341,137,4,06/21/2021,No,3
342,89,4,2023-09-13,No,2
343,411,5,2024-06-19,No,23
344,1,4,2022-11-05,No,9
345,157,5,2023-01-25,No,1
346,14,4,2024-09-28,Yes,7
347,156,4,2024-10-06,No,4
348,157,5,2022-10-10,No,0
349,13,5,2024-11-10,Yes,0
350,402,2,2024-05-28,No,1
351,291,4,2024-01-19,Yes,0
352,343,5,2024-09-06,Yes,2
353,65,5,2024-08-29,No,2
354,422,4,2024-06-17,No,1
355,198,4,02/23/2024,No,0
356,279,4,2021-10-11,Yes,4
357,407,4,04/27/2023,No,1
358,95,5,2021-01-01,Yes,0
359,255,4,2024-01-27,No,0
360,291,3,2023-09-06,No,1
361,73,5,2024-08-05,Yes,2
362,35,5,2023-01-28,No,3
363,341,5,2024-01-10,No,1
364,433,4,2024-10-13,No,12
365,342,4,2023-01-09,No,1
366,402,4,2019-03-06,Yes,0
367,73,4,2024-12-04,No,1
368,127,5,2022-10-26,No,0
369,89,4,2024-07-04,Yes,16
370,157,5,05/24/2023,No,1
371,86,3,2024-03-01,No,2
372,436,5,2020-08-27,Yes,1
373,156,4,2024-11-05,No,4
374,143,5,2024-01-21,Yes,2
375,73,4,2024-07-07,No,17
376,297,4,2022-01-05,No,1
377,92,3,03/25/2024,No,1
378,316,4,2024-06-01,No,1
379,106,4,05/24/2022,No,1
380,379,5,2022-01-09,No,1
381,214,4,2024-06-27,No,0
382,127,5,2022-04-14,No,0
383,268,5,05/16/2021,Yes,0
384,157,5,2024-06-20,No,10
385,409,5,2021-10-16,No,3
386,127,5,2024-07-16,No,0
387,99,5,2024-01-18,No,3
388,51,5,08/10/2024,No,6
389,207,4,2023-04-06,No,0
390,245,5,2024-03-19,No,0
391,379,4,01/19/2022,No,1
392,73,4,2024-12-24,No,2
393,454,4,2024-05-24,No,0
394,226,4,2023-01-08,No,2
395,86,4,2024-08-21,No,5
396,99,4,2023-04-17,No,1
397,9,3,2023-12-10,No,0
398,372,5,2023-12-14,No,0
399,328,4,01/19/2024,Yes,3
400,97,5,2024-12-25,No,6
401,118,4,01/09/2024,No,36
402,160,5,2024-09-01,No,0
403,412,5,05/03/2024,No,0
404,343,5,2023-02-06,No,2
405,35,5,2024-11-02,No,2
406,177,2,2024-05-02,No,3
407,81,5,2019-06-21,No,2
408,158,5,2022-09-08,Yes,0
409,352,5,2023-08-28,No,3
410,222,5,05/28/2022,Yes,7
411,91,5,2021-11-06,No,1
412,355,5,2024-09-23,No,1
413,312,3,12/18/2023,Yes,2
414,291,4,2022-10-08,No,0
415,450,4,2022-11-07,Yes,9
416,30,4,2024-11-12,Yes,9
417,361,5,2024-07-04,No,2
418,465,5,2023-08-03,No,0
419,157,5,2022-05-10,Yes,0
420,138,4,2024-01-07,Yes,5
421,382,2,01/18/2024,No,8
422,121,5,11/26/2023,No,2
423,461,4,2022-09-21,No,2
424,11,4,2024-09-30,No,1
425,247,4,06/19/2021,No,0
426,198,4,2022-10-06,Yes,0
427,98,4,2021-07-18,No,7
428,434,5,2020-10-15,No,3
429,402,4,2024-02-01,No,9
430,107,3,08/01/2024,No,0
431,32,2,2023-05-04,No,0
432,399,5,2022-08-23,No,1
433,81,5,2023-07-14,No,0
434,172,5,2023-02-24,No,1
435,202,5,2023-09-16,No,1
436,450,5,2023-11-01,No,1
437,181,4,2023-05-27,No,0
438,95,5,2024-09-22,Yes,1
439,197,4,2022-08-10,No,3
440,352,5,02/22/2024,No,0
441,197,5,2024-09-30,No,2
442,292,5,2024-10-24,Yes,0
443,328,4,07/05/2023,No,0
444,487,6,11/22/2020,No,3
445,197,5,2023-04-21,No,2
446,379,3,2024-09-30,No,0
447,401,4,2022-10-17,No,0
448,61,3,2024-04-21,No,1
449,200,5,08/19/2023,No,1
450,276,4,2022-04-10,Yes,15
451,95,5,2022-11-11,No,0
452,43,4,2023-06-18,Yes,0
453,380,5,2024-12-10,No,0
454,179,4,2023-10-19,No,0
455,380,4,07/23/2024,No,1
456,172,4,2023-03-25,No,4
457,405,4,2023-02-28,No,0
458,335,4,2024-08-30,No,0
459,430,5,2024-05-01,Yes,1
460,399,4,2023-03-28,No,6
461,326,4,2022-12-19,No,26
462,433,4,2024-06-19,No,0
463,52,5,2024-12-21,No,1
464,116,2,2023-12-28,No,2
465,497,5,2023-02-06,No,0
466,328,4,2024-12-11,No,2
467,400,3,04/16/2024,No,0
468,451,4,2024-02-20,No,5
469,484,3,2022-06-10,No,0
470,284,5,2023-01-14,No,1
471,154,4,2022-05-01,No,0
472,197,5,2024-03-26,No,3
473,67,5,2023-03-21,No,1
474,332,4,2024-01-08,No,0
475,338,5,2024-01-04,No,0
476,484,5,2021-01-18,No,0
477,412,5,07/23/2024,No,2
478,402,4,2024-09-18,Yes,0
479,197,4,2022-08-24,Yes,2
480,461,4,2024-05-12,No,0
481,399,5,11/08/2024,No,3
482,208,4,2023-06-23,No,0
483,95,5,2024-07-10,Yes,2
484,26,4,2023-05-23,No,1
485,204,5,2023-01-16,Yes,1
486,288,4,2023-11-25,No,2
487,219,5,2024-07-10,No,0
488,450,3,08/23/2023,No,8
489,343,5,2023-12-15,No,2
490,73,5,2024-04-22,No,6
491,190,4,2024-09-14,No,1
492,406,4,2024-02-10,No,4
493,99,4,09/25/2024,No,0
494,154,5,2020-02-28,No,2
495,123,5,2021-03-05,No,0
496,73,5,2024-07-08,No,2
497,337,4,2019-10-31,Yes,3
498,73,5,08/02/2024,No,0
499,197,4,2023-10-12,Yes,0
500,330,4,2024-10-19,Yes,0
501,131,3,2024-03-08,No,2
502,81,4,2024-05-19,No,3
503,483,3,2023-10-03,No,1
504,52,5,2024-10-24,No,1
505,491,4,2024-10-06,Yes,2
506,281,5,05/09/2024,Yes,0
507,140,5,2019-08-13,No,2
508,402,4,2023-11-17,No,3
509,190,4,2024-06-22,No,2
510,276,4,2022-07-23,No,2
511,389,4,2023-09-26,No,1
512,143,4,2024-12-17,No,0
513,52,3,2024-09-04,No,0
514,56,5,2023-11-21,Yes,1
515,330,4,2019-03-23,Yes,1
516,159,5,2024-12-24,No,0
517,83,5,2024-09-20,Yes,1
518,169,3,02/25/2021,No,0
519,402,5,2022-01-27,No,2
520,461,2,11/09/2024,No,2
521,465,5,2022-02-09,Yes,1
522,67,3,2023-05-03,No,1
523,199,5,2024-08-30,No,3
524,222,5,2022-11-12,No,7
525,131,5,2023-03-24,Yes,0
526,73,5,2024-06-07,No,1
527,333,5,2024-08-30,No,7
528,402,5,2020-12-15,No,2
529,158,5,2020-02-25,No,1
530,6,5,2023-06-18,No,0
531,298,4,2022-05-21,Yes,0
532,328,3,2024-04-05,No,2
533,364,4,09/12/2024,No,0
534,190,4,2023-07-16,Yes,1
535,343,5,2024-01-17,Yes,1
536,68,4,2022-09-06,No,2
537,445,4,2024-06-09,No,0
538,292,4,10/08/2022,No,1
539,70,3,2024-09-07,Yes,0
540,372,4,2024-05-08,No,0
541,277,4,2024-08-31,No,0
542,63,3,2024-11-30,No,0
543,380,4,2023-05-18,No,1
544,177,4,12/14/2023,Yes,1
545,257,5,2021-04-19,No,5
546,477,4,2021-05-14,No,1
547,256,5,08/19/2023,No,1
548,99,5,2021-07-07,No,1
549,465,4,2024-06-04,No,3
550,130,5,2021-08-17,Yes,1
551,318,4,2022-07-08,No,0
552,311,5,2024-11-29,No,1
553,446,3,2023-12-29,Yes,0
554,139,5,2023-11-12,Yes,12
555,466,4,2024-07-03,No,0
556,291,3,06/09/2023,No,1
557,307,5,2024-04-25,No,1
558,232,4,2023-08-05,No,3
559,276,4,2022-08-17,No,2
560,73,5,2024-06-10,No,2
561,361,5,2020-06-26,Yes,1
562,11,5,2024-07-02,No,3
563,9,4,2024-09-23,No,3
564,232,4,2022-08-05,No,0
565,12,5,2023-02-22,No,0
566,185,5,06/01/2022,No,5
567,446,2,2022-06-18,No,1
568,157,5,2023-10-24,No,0
569,157,5,2024-11-01,No,2
570,433,5,2022-10-03,No,1
571,450,4,2024-10-24,No,2
572,76,3,2023-02-23,No,0
573,361,5,09/29/2021,No,1
574,233,4,2024-12-17,No,2
575,470,5,2023-12-31,No,1
576,108,5,2023-03-09,No,2
577,402,4,06/21/2022,Yes,4
578,226,5,2022-01-21,Yes,4
579,412,5,2024-01-04,No,5
580,197,5,2021-08-07,Yes,2
581,343,5,2024-07-17,No,2
582,286,5,09/23/2021,Yes,0
583,11,4,04/19/2024,No,0
584,475,3,2024-02-07,No,1
585,11,4,2023-11-21,No,0
586,190,5,2023-12-06,No,1
587,125,3,2024-03-08,No,1
588,180,3,12/16/2024,No,1
589,190,5,2024-04-26,Yes,3
590,319,2,2023-08-15,No,0
591,197,5,2022-07-01,No,1
592,81,5,2020-07-18,Yes,0
593,465,5,2024-01-26,Yes,8
594,16,5,2023-08-22,No,7
595,154,4,2021-02-19,No,0
596,247,5,2023-10-18,No,1
597,14,5,2023-10-14,No,4
598,103,5,2024-08-13,Yes,2
599,294,3,2022-11-14,Yes,0
600,467,5,2022-04-30,No,2
601,498,2,2024-02-07,No,3
602,423,3,2024-06-26,No,1
603,84,5,2024-08-13,No,0
604,467,5,2024-12-13,No,1
605,196,2,2023-12-07,No,2
606,47,3,2023-11-21,No,3
607,78,4,2024-06-29,No,2
608,222,5,07/10/2023,No,0
609,67,5,2023-08-10,No,0
610,291,4,2023-06-16,No,0
611,268,5,04/08/2021,No,0
612,13,4,2024-10-14,No,0
613,73,5,11/22/2024,No,1
614,442,4,2021-02-28,Yes,5
615,483,3,2024-11-11,No,2
616,483,3,2023-06-11,No,3
617,275,4,2024-10-07,No,0
618,402,4,2024-02-03,No,1
619,399,4,2024-05-09,No,3
620,276,3,2020-11-27,No,0
621,388,3,2021-06-08,Yes,1
622,150,4,2023-08-08,No,0
623,500,4,2024-09-13,No,5
624,462,4,2023-06-03,No,1
625,206,3,2024-03-30,No,5
626,268,5,08/02/2023,No,7
627,413,4,2024-04-05,Yes,0
628,219,5,11/21/2024,No,3
629,467,5,2023-05-22,No,1
630,156,4,10/10/2022,No,1
631,189,4,2022-12-04,No,0
632,186,4,2024-06-22,No,1
633,108,5,2023-04-29,No,0
634,458,5,2024-06-03,Yes,1
635,13,5,2023-12-29,No,24
636,276,4,2020-09-29,No,2
637,319,4,2024-09-06,No,3
638,127,5,2022-02-08,Yes,0
639,127,5,09/11/2024,No,0
640,400,4,2023-12-14,No,2
641,197,5,2022-12-07,Yes,3
642,417,3,10/21/2021,No,1
643,72,3,2023-11-20,No,0
644,446,4,2021-01-03,Yes,0
645,97,5,2024-05-18,No,4
646,472,5,2024-10-18,No,1
647,99,5,10/08/2023,No,0
648,67,3,2023-06-13,Yes,0
649,402,2,2024-11-11,No,1
650,434,5,2024-10-31,No,1
651,402,4,2021-10-19,Yes,1
652,154,5,07/24/2019,No,2
653,276,4,03/30/2021,No,0
654,275,4,2024-10-05,No,8
655,276,3,2023-04-12,No,1
656,135,3,2022-05-18,No,2
657,108,5,2024-09-14,No,0
658,261,4,2022-04-06,Yes,1
659,197,5,2022-05-30,Yes,4
660,15,5,2022-03-30,No,1
661,451,5,2020-10-03,Yes,3
662,497,3,09/05/2024,No,0
663,361,5,2023-08-25,Yes,2
664,437,2,2022-01-29,Yes,1
665,337,4,2023-12-13,No,1
666,156,4,2022-09-01,No,3
667,257,5,2023-02-14,No,4
668,55,5,2024-04-06,No,0
669,116,4,2024-09-17,Yes,1
670,329,4,04/20/2024,No,1
671,402,4,2022-03-17,No,4
672,412,4,2022-12-02,Yes,5
673,214,4,2024-05-12,Yes,1
674,477,4,2023-11-03,Yes,1
675,69,5,2022-11-01,No,1
676,72,4,12/22/2023,No,0
677,199,5,2022-06-24,Yes,0
678,95,5,2021-05-30,Yes,0
679,257,5,2021-11-12,Yes,1
680,262,5,2023-08-31,No,2
681,190,5,2024-06-25,No,0
682,316,5,2024-02-28,No,10
683,370,5,2021-02-16,No,0
684,217,3,2024-12-12,No,1
685,487,5,2024-04-06,Yes,1
686,1,4,2024-08-04,No,2
687,108,4,09/10/2024,Yes,3
688,237,5,2022-04-19,No,2
689,218,5,03/29/2024,No,13
690,409,4,2023-06-13,No,1
691,76,4,2024-12-24,No,2
692,99,5,05/26/2022,No,1
693,135,3,2024-10-26,No,3
694,451,3,2022-06-11,No,26
695,137,5,12/23/2023,No,2
696,160,5,2022-04-27,Yes,3
697,143,4,2024-07-14,Yes,0
698,104,5,2024-06-12,Yes,1
699,167,4,2024-01-03,No,4
700,479,5,2024-07-16,No,2
701,365,2,2022-05-22,Yes,4
702,331,5,2023-12-29,No,9
703,86,3,2024-08-03,Yes,3
704,197,5,07/09/2021,No,1
705,391,5,2023-10-07,No,1
706,172,4,2023-01-21,No,7
707,453,5,2021-11-13,Yes,2
708,300,5,2024-08-29,No,0
709,218,5,2024-11-06,Yes,0
710,402,3,2023-06-05,No,3
711,277,3,09/26/2024,No,42
712,73,5,11/29/2024,No,0
713,358,5,2024-06-12,Yes,6
714,118,3,2022-10-16,Yes,1
715,462,3,2022-03-16,Yes,3
716,297,5,2023-04-18,No,0
717,13,5,2024-02-27,No,2
718,232,5,2022-10-20,Yes,2
719,136,3,09/17/2023,No,0
720,72,5,2023-07-04,No,2
721,450,3,2024-11-03,No,1
722,99,5,2024-10-24,No,1
723,76,4,2023-03-14,No,0
724,292,3,2021-04-06,No,1
725,126,3,2023-12-13,No,0
726,245,4,2024-04-07,No,0
727,458,5,2024-07-31,No,3
728,178,3,11/27/2023,Yes,0
729,214,5,2024-07-23,Yes,1
730,108,5,2024-08-23,No,2
731,51,5,08/21/2021,Yes,4
732,422,4,2023-01-05,No,1
733,99,5,2023-07-04,No,1
734,432,3,2023-09-19,Yes,1
735,245,5,2021-06-17,No,0
736,186,5,2023-07-25,No,0
737,264,5,2024-01-18,No,2
738,440,5,2023-11-26,No,0
739,97,5,2023-03-28,No,0
740,453,4,08/28/2021,No,5
741,297,5,2022-12-01,Yes,0
742,465,4,2024-10-11,No,0
743,108,4,09/13/2024,No,0
744,181,5,2023-11-22,Yes,1
745,180,5,2024-07-28,Yes,0
746,446,5,2023-01-14,No,4
747,55,5,03/21/2024,No,1
748,401,4,2024-09-24,Yes,1
749,154,4,2024-12-28,Yes,0
750,324,2,2020-01-15,No,0
751,402,5,2022-11-18,No,0
752,424,3,2023-03-13,No,0
753,65,4,11/21/2024,No,5
754,152,5,2023-11-04,Yes,10
755,14,4,2024-10-14,No,0
756,149,5,2024-12-01,Yes,4
757,11,3,01/21/2022,No,2
758,327,5,2020-11-16,No,3
759,402,4,2021-08-10,Yes,4
760,423,5,2024-06-12,No,15
761,270,5,2023-01-30,No,1
762,358,4,2024-09-04,No,7
763,496,5,09/26/2023,No,3
764,276,5,2020-12-07,No,0
765,320,4,2024-02-27,No,1
766,8,4,2023-06-25,No,2
767,196,2,2024-10-30,No,6
768,125,3,2024-10-27,No,1
769,88,5,2021-08-09,No,0
770,207,3,2023-10-16,No,6
771,15,5,04/02/2023,Yes,0
772,276,4,2024-07-18,No,0
773,140,5,2022-03-30,No,4
774,469,4,2022-07-16,Yes,1
775,76,4,12/25/2021,No,6
776,393,4,2023-12-11,No,1
777,325,5,2024-06-06,No,3
778,265,5,2021-11-22,No,6
779,327,4,2022-03-15,No,4
780,401,4,2024-12-14,Yes,2
781,477,4,10/15/2023,Yes,1
782,108,5,2024-09-16,Yes,4
783,450,3,2024-06-05,No,1
784,196,2,2024-01-30,Yes,1
785,97,5,2023-02-05,No,7
786,222,5,04/01/2021,No,1
787,186,4,2024-05-29,Yes,0
788,402,4,05/03/2022,No,3
789,206,4,2024-05-18,No,3
790,253,4,2023-12-07,Yes,2
791,216,5,2024-04-16,No,3
792,239,5,08/31/2019,No,1
793,465,5,2024-07-03,No,1
794,435,5,04/22/2022,No,0
795,236,4,2024-11-01,No,2
796,108,5,2023-10-17,Yes,1
797,83,4,2024-09-05,No,0
