app_id,app_name,developer,category_name,launch_date,has_free_plan,monthly_price_usd
91,BoldInventory Tool,Cascade Solutions,Loyalty and Rewards,2019-08-29,No,14.99
92,QuickPilot Max,BrightWave Tech,SEO,2022-06-25,Yes,
93,PowerPilot Studio,Ironwood Studios,Subscriptions,2018-07-18,No,49.99
94,SuperHub App,Zenith Studios,SEO,2021-01-09,No,14.99
95,MasterSearch AI,Vertex Solutions,SEO,2018-08-24,No,4.99
96,RapidBuild Plus,Cascade Apps,Inventory Management,2021-01-03,Yes,
97,BoostMind X,Kestrel Solutions,Sales and Conversion,2021-10-14,Yes,
98,PrimeSync Lite,Evergreen Software,STORE DESIGN,2018-04-03,No,14.99
99,TopBox Master,Ironwood Group,Reporting and Analytics,2021-04-17,No,9.99
100,BoostEmail Max,Atlas Labs,search and navigation,2020-06-29,No,99.99
101,AceEmail X,Astra Labs,Sales and Conversion,2023-04-28,No,19.99
102,QuickEdit Tool,Vanguard Labs,Sales and Conversion,2022-08-27,No,9.99
103,GeniusEdit App,Linear Apps,Inventory Management,2022-10-25,No,9.99
104,UltimateShip Master,Fortis Solutions,Marketing,2018-12-23,Yes,
105,ProReview AI,Sundial Solutions,REVIEWS AND RATINGS,2021-04-30,Yes,
106,SleekSync AI,Kestrel Apps,Marketing,2020-09-07,No,19.99
107,PrimeReview Plus,Quantum Studios,Sales and Conversion,2018-09-16,Yes,
108,SleekSync AI,Peak Systems,Sales and Conversion,2022-06-13,No,99.99
109,RapidCart X,Sundial Labs,Reporting and Analytics,2019-11-26,No,19.99
110,AceSales Lite,BrightWave Software,Sales and Conversion,2022-08-31,Yes,
111,AceSales 360,BlueRiver Group,REVIEWS AND RATINGS,2019-11-07,No,19.99
112,QuickSync Flow,Vertex Solutions,Sales and Conversion,2021-03-29,No,9.99
113,ProBuild 360,Atlas Software,SEO,2019-07-25,No,99.99
114,RapidShip Flow,Ironwood Tech,Marketing,2019-01-05,Yes,
115,UltimateMind Lite,Cascade Software,STORE DESIGN,2022-02-26,No,4.99
116,MasterBuild Studio,Beacon Solutions,SEO,2023-04-13,No,4.99
117,BrilliantEmail Lite,PixelPerfect Tech,search and navigation,2021-09-17,No,29.99
118,MegaInventory Studio,Ironwood Digital,REVIEWS AND RATINGS,2021-09-28,Yes,
119,ProShip AI,Beacon Systems,STORE DESIGN,2018-09-22,Yes,
120,EasyConnect Max,BlueRiver Systems,Marketing,2020-07-30,No,99.99
121,TopHub Studio,Nimbus Systems,Marketing,2023-06-02,Yes,
122,EasyHub Plus,Fortis Systems,Loyalty and Rewards,2020-03-31,No,19.99
123,EasyPulse Lite,Nimbus Group,REVIEWS AND RATINGS,2019-02-02,No,14.99
124,MasterPilot App,Helix Software,STORE DESIGN,2023-05-03,No,19.99
125,FreshBox Lite,GoldStandard Solutions,email marketing,2023-06-12,No,9.99
126,FreshEmail Master,Peak Software,Inventory Management,2020-08-03,No,4.99
127,EasyPilot Flow,Peak Systems,search and navigation,2021-04-03,No,99.99
128,SleekSales Pro,Sundial Software,SEO,2023-01-16,No,49.99
129,QuickTrack Max,Sundial Digital,REVIEWS AND RATINGS,2020-12-06,No,14.99
130,BrilliantEmail Lite,Kestrel Solutions,Sales and Conversion,2019-11-07,Yes,
131,BrilliantSales Master,PixelPerfect Studios,Customer Support,2019-09-28,No,49.99
132,RapidConnect Lite,Quantum Studios,Subscriptions,2021-12-10,No,49.99
133,MagicOrder Tool,Quantum Digital,orders and shipping,2019-04-09,No,9.99
134,TopSales App,Echo Studios,Productivity,2020-06-15,Yes,
135,PrimePilot Studio,Helix Digital,orders and shipping,2020-12-29,Yes,
136,PrimeBox Studio,Helix Systems,REVIEWS AND RATINGS,2020-12-16,No,9.99
137,BoldBuild 360,Nimbus Group,email marketing,2018-09-13,Yes,
138,MegaReview Tool,Sundial Solutions,Marketing,2020-04-29,Yes,
139,EasyBuild Tool,,Sales and Conversion,2022-09-15,No,14.99
140,UltimateForge AI,Linear Apps,Sales and Conversion,2018-02-08,Yes,
141,BrilliantPulse X,Nimbus Tech,orders and shipping,2019-09-09,Yes,
142,BoldPilot 360,Acme Group,Loyalty and Rewards,2019-05-11,No,14.99
143,GeniusMind X,Echo Software,REVIEWS AND RATINGS,2023-06-20,Yes,
144,SmartConnect AI,BlueRiver Systems,Customer Support,2019-06-04,No,14.99
145,ProMind Max,Helix Solutions,STORE DESIGN,2018-04-01,Yes,
146,BoldOrder App,PixelPerfect Digital,Marketing,2019-08-24,Yes,
147,TopStack AI,Astra Apps,SEO,2021-08-17,Yes,
148,ProBuild X,Cascade Digital,Reporting and Analytics,2019-11-26,No,19.99
149,SleekSearch Plus,Beacon Systems,Sales and Conversion,2020-05-31,No,99.99
150,MagicSync AI,,STORE DESIGN,2021-11-13,No,19.99
151,MasterShip App,Linear Digital,Marketing,2018-09-16,Yes,
152,BrilliantSales Lite,Sundial Solutions,Customer Support,2020-06-28,No,29.99
153,SuperSearch Tool,Nimbus Apps,Productivity,2019-01-17,No,19.99
154,BoldCart Plus,Vanguard Software,search and navigation,2018-12-20,No,19.99
155,RapidStack Studio,Vertex Studios,Productivity,2021-12-24,No,49.99
156,UltimateTrack AI,Acme Solutions,REVIEWS AND RATINGS,2021-03-18,Yes,
157,BrilliantReview Plus,Vertex Systems,Productivity,2022-01-12,No,19.99
158,EasyBox AI,Ironwood Group,Customer Support,2018-09-20,No,99.99
159,UltimateHub 360,BlueRiver Software,REVIEWS AND RATINGS,2018-11-10,Yes,
160,RapidSearch App,Kestrel Tech,Loyalty and Rewards,2020-12-28,Yes,
161,FreshSales App,Ironwood Solutions,email marketing,2023-03-08,No,99.99
162,SmartForge Lite,Northern Star Tech,Subscriptions,2023-05-14,Yes,
163,TopSync AI,PixelPerfect Apps,STORE DESIGN,2020-06-19,No,19.99
164,AceConnect App,Helix Solutions,REVIEWS AND RATINGS,2021-02-24,Yes,
165,PrimeTrack App,Nimbus Apps,Inventory Management,2023-04-21,Yes,
166,SuperMind Max,,SEO,2018-11-23,No,29.99
167,BoldShip Plus,Cascade Group,search and navigation,2023-06-03,Yes,
168,BoldSync 360,Acme Software,Reporting and Analytics,2018-10-02,No,49.99
169,QuickConnect Pro,GoldStandard Group,orders and shipping,2020-01-13,No,4.99
170,BrilliantPilot Plus,Vanguard Software,Reporting and Analytics,2020-02-04,No,14.99
171,UltimateCart Flow,Peak Systems,REVIEWS AND RATINGS,2018-03-24,Yes,
172,BrilliantPulse App,Quantum Solutions,STORE DESIGN,2020-03-15,No,49.99
173,SleekPulse 360,BrightWave Tech,search and navigation,2022-07-29,Yes,
174,SmartPilot AI,Astra Labs,Productivity,2018-04-16,No,9.99
175,TopSales Lite,Fortis Apps,Loyalty and Rewards,2023-04-26,No,9.99
176,MegaPulse Flow,BrightWave Apps,Productivity,2018-10-10,No,29.99
177,SleekConnect Master,Echo Digital,REVIEWS AND RATINGS,2019-12-03,No,49.99
178,BrilliantForge Tool,Fortis Tech,REVIEWS AND RATINGS,2019-09-04,Yes,
179,MagicCart Max,Compass Digital,Customer Support,2020-09-09,Yes,
180,TopBuild App,,Inventory Management,2023-05-11,No,14.99
181,RapidSearch 360,Compass Tech,STORE DESIGN,2018-08-12,No,29.99
182,SuperForge Plus,Ironwood Studios,Marketing,2023-05-30,No,9.99
183,BoldForge Lite,Zenith Tech,Customer Support,2019-08-08,No,99.99
184,QuickOrder X,Echo Apps,email marketing,2020-03-24,No,9.99
185,UltimatePulse AI,Astra Labs,SEO,2018-08-19,Yes,
186,SuperSync Flow,Ironwood Labs,STORE DESIGN,2021-06-05,No,19.99
187,EasyConnect Lite,Nimbus Studios,STORE DESIGN,2020-09-04,Yes,
188,SuperSync Flow,Beacon Apps,Inventory Management,2021-08-31,Yes,
189,PrimeSync App,Cascade Group,Productivity,2022-04-26,Yes,
190,UltimateBox Max,Linear Solutions,Reporting and Analytics,2021-12-08,No,19.99
191,PowerTrack Lite,Helix Software,REVIEWS AND RATINGS,2020-07-03,No,14.99
192,SleekCart Flow,Northern Star Studios,STORE DESIGN,2019-11-03,No,19.99
193,FreshForge Plus,Peak Digital,SEO,2018-04-24,No,29.99
194,MagicShip X,Astra Apps,Productivity,2019-03-23,No,4.99
195,RapidEmail Plus,BrightWave Apps,Inventory Management,2020-04-17,Yes,
196,AceConnect AI,Cascade Systems,Sales and Conversion,2021-10-30,No,99.99
197,AceInventory App,Northern Star Systems,REVIEWS AND RATINGS,2018-09-18,No,9.99
198,RapidHub 360,Cascade Labs,orders and shipping,2020-08-01,Yes,
199,MegaPilot Pro,Fortis Labs,Sales and Conversion,2018-07-26,No,19.99
200,TopBox Tool,,SEO,2022-11-04,No,9.99
201,FreshEdit Flow,Linear Solutions,orders and shipping,2019-09-11,No,49.99
202,FreshOrder Lite,Ironwood Systems,REVIEWS AND RATINGS,2020-10-12,Yes,
203,TopPulse Master,Compass Systems,Reporting and Analytics,2018-11-02,Yes,
204,UltimateBox Pro,Northern Star Systems,Reporting and Analytics,2021-02-15,No,19.99
205,EasyBox Master,PixelPerfect Group,Productivity,2022-08-26,Yes,
206,PowerMind Max,Ironwood Group,orders and shipping,2020-09-08,Yes,
207,SmartCart Tool,Beacon Software,Productivity,2022-03-25,No,9.99
208,SuperSync X,Sundial Group,Subscriptions,2020-01-06,Yes,
209,PrimeInventory Max,BrightWave Solutions,orders and shipping,2020-01-30,Yes,
210,PowerEdit Tool,Cascade Labs,search and navigation,2021-02-01,No,49.99
211,BoldForge AI,Echo Solutions,STORE DESIGN,2018-10-14,No,19.99
212,QuickShip X,Vanguard Labs,Sales and Conversion,2021-12-19,Yes,
213,QuickPilot Lite,Ironwood Digital,Subscriptions,2020-09-26,Yes,
214,RapidSync Pro,Peak Systems,SEO,2023-04-09,No,4.99
215,GeniusCart Flow,Peak Tech,email marketing,2019-12-27,Yes,
216,GeniusSync Lite,PixelPerfect Apps,Sales and Conversion,2020-04-10,Yes,
217,SmartOrder Plus,BrightWave Systems,Subscriptions,2022-05-26,Yes,
218,BoostStack Flow,Ironwood Apps,STORE DESIGN,2023-03-18,No,4.99
219,TopReview Studio,Echo Labs,Loyalty and Rewards,2022-09-06,No,49.99
220,EasyPulse Max,Atlas Apps,Sales and Conversion,2020-06-14,Yes,
221,BrilliantPilot X,Helix Solutions,Marketing,2021-07-22,Yes,
222,BrilliantSync Tool,Compass Software,Sales and Conversion,2019-07-03,Yes,
223,TopEdit Master,Nimbus Software,Marketing,2023-04-16,Yes,
224,PrimeStack 360,,Sales and Conversion,2018-02-23,Yes,
225,SuperConnect Pro,Vertex Systems,Reporting and Analytics,2022-05-15,Yes,
226,BoldSales Plus,,Inventory Management,2020-05-12,Yes,
227,GeniusForge Flow,Linear Labs,search and navigation,2018-08-08,Yes,
228,SuperBox Master,Evergreen Studios,Inventory Management,2019-10-19,No,49.99
229,TopEdit Studio,Beacon Digital,Loyalty and Rewards,2022-05-21,Yes,
230,FreshCart Flow,Northern Star Studios,Subscriptions,2022-04-22,No,49.99
231,PrimeSync Max,PixelPerfect Systems,Subscriptions,2020-10-19,Yes,
232,TopReview AI,Linear Digital,Loyalty and Rewards,2020-03-31,No,99.99
233,AceStack Flow,Kestrel Software,Sales and Conversion,2022-04-24,Yes,
234,TopEdit X,Nimbus Apps,Sales and Conversion,2019-06-14,Yes,
235,FreshTrack AI,Atlas Systems,search and navigation,2022-05-01,No,49.99
236,MegaReview Plus,Beacon Studios,Customer Support,2019-10-01,Yes,
237,AceForge Plus,Sundial Digital,Customer Support,2018-05-18,Yes,
238,MasterTrack 360,Echo Group,STORE DESIGN,2019-11-09,No,19.99
239,MasterOrder Lite,Ironwood Systems,Reporting and Analytics,2018-03-01,No,9.99
240,BoostReview Flow,Nimbus Group,STORE DESIGN,2020-01-20,Yes,
241,BoldPulse Lite,Quantum Systems,Loyalty and Rewards,2020-03-14,No,14.99
242,MagicPilot Flow,PixelPerfect Studios,Customer Support,2018-08-30,Yes,
243,UltimatePulse X,Evergreen Studios,Loyalty and Rewards,2020-02-25,No,19.99
244,RapidOrder AI,Vertex Studios,STORE DESIGN,2019-10-07,No,29.99
245,SmartForge App,Zenith Systems,REVIEWS AND RATINGS,2020-11-01,No,19.99
246,EasyMind Pro,Helix Labs,Inventory Management,2018-03-08,Yes,
247,PrimeMind Max,Helix Digital,REVIEWS AND RATINGS,2020-11-12,Yes,
248,PrimeStack Tool,Evergreen Software,Productivity,2022-08-27,No,9.99
249,EasyBox Plus,Helix Labs,orders and shipping,2022-07-19,No,49.99
250,UltimateCart Tool,BlueRiver Solutions,REVIEWS AND RATINGS,2019-07-30,No,9.99
251,MagicMind Studio,Peak Software,STORE DESIGN,2023-05-26,No,19.99
252,SuperTrack Lite,Cascade Digital,STORE DESIGN,2021-03-28,No,49.99
253,EasyConnect 360,Beacon Tech,Productivity,2023-04-02,No,19.99
254,EasyBox Lite,Ironwood Solutions,email marketing,2018-05-10,No,19.99
255,PowerForge Studio,,Customer Support,2021-01-25,No,29.99
256,AceSearch Plus,Atlas Studios,Marketing,2020-03-22,No,49.99
257,EasyInventory Pro,Zenith Digital,Sales and Conversion,2018-09-29,No,29.99
258,UltimateForge Plus,Fortis Systems,Sales and Conversion,2022-02-05,No,4.99
259,UltimateConnect App,Kestrel Studios,Sales and Conversion,2020-12-22,No,29.99
260,UltimateHub Flow,Ironwood Digital,email marketing,2019-03-21,Yes,
261,MegaEdit App,Fortis Tech,Subscriptions,2018-06-22,Yes,
262,SmartSync Tool,Peak Group,orders and shipping,2022-03-12,Yes,
263,GeniusForge X,Nimbus Labs,search and navigation,2021-07-30,No,29.99
264,MegaBuild 360,Ironwood Studios,SEO,2020-08-22,No,99.99
265,SmartSearch Tool,BlueRiver Apps,SEO,2020-03-26,No,49.99
266,RapidStack Flow,Vanguard Tech,Sales and Conversion,2019-09-27,Yes,
267,FreshReview Studio,Compass Systems,Productivity,2023-05-07,No,4.99
268,MasterInventory Pro,Compass Studios,Productivity,2018-01-24,Yes,
269,BoostOrder Master,Vanguard Tech,Productivity,2022-12-21,Yes,
270,BoostMind Lite,PixelPerfect Digital,search and navigation,2020-11-12,Yes,
271,AceOrder Studio,Helix Software,Loyalty and Rewards,2021-10-12,No,9.99
272,QuickStack Max,Beacon Systems,orders and shipping,2019-10-22,Yes,
273,EasyMind Master,Nimbus Group,Subscriptions,2023-01-22,Yes,
274,PrimeSync Studio,Quantum Software,REVIEWS AND RATINGS,2020-07-24,Yes,
275,MagicPilot Tool,Sundial Solutions,Loyalty and Rewards,2023-06-14,No,99.99
276,UltimateShip X,Acme Labs,REVIEWS AND RATINGS,2019-12-11,No,49.99
277,ProCart 360,Fortis Systems,search and navigation,2023-05-23,Yes,
278,EasyMind Plus,Peak Studios,Subscriptions,2022-08-07,Yes,
279,UltimateTrack Studio,Astra Solutions,SEO,2020-03-15,No,49.99
280,UltimateMind Plus,Vanguard Software,STORE DESIGN,2020-07-09,No,19.99
281,PowerBox Studio,Sundial Tech,email marketing,2018-09-03,Yes,
282,PowerEdit App,PixelPerfect Labs,Customer Support,2020-03-22,No,49.99
283,MasterShip X,Sundial Group,Productivity,2021-01-31,Yes,
284,GeniusSales Tool,Cascade Solutions,Subscriptions,2021-07-14,No,4.99
285,EasyShip Plus,,SEO,2018-09-21,Yes,
286,MegaOrder Master,Zenith Studios,Inventory Management,2019-07-28,No,9.99
287,MegaStack AI,BlueRiver Software,Inventory Management,2020-02-24,Yes,
288,TopBuild AI,Northern Star Digital,Customer Support,2023-02-13,No,14.99
289,SuperPilot Tool,Acme Tech,Marketing,2022-07-15,No,29.99
290,GeniusTrack Studio,Northern Star Apps,SEO,2023-04-26,Yes,
291,MasterOrder Tool,GoldStandard Solutions,SEO,2022-02-20,No,29.99
292,BoldStack Studio,Echo Digital,Marketing,2018-07-04,Yes,
293,BoldShip Master,Linear Labs,SEO,2018-09-25,Yes,
294,SleekBuild Plus,Atlas Systems,Loyalty and Rewards,2018-07-26,Yes,
295,BoldEdit App,,Productivity,2022-12-27,No,99.99
296,MagicSales App,Beacon Apps,Productivity,2023-04-27,No,99.99
297,BoldSales Master,Beacon Software,orders and shipping,2019-12-12,No,9.99
298,SmartSearch Tool,Fortis Software,Customer Support,2019-06-10,No,49.99
299,MegaOrder X,BrightWave Systems,Customer Support,2021-01-23,Yes,
300,QuickSync Pro,,Sales and Conversion,2018-06-01,Yes,
301,EasyStack Plus,Quantum Digital,Productivity,2018-03-05,No,49.99
302,RapidSearch Lite,Vertex Tech,orders and shipping,2018-07-16,Yes,
303,UltimateEmail Master,Acme Systems,Sales and Conversion,2019-08-27,No,49.99
304,MagicReview AI,Nimbus Tech,SEO,2020-03-25,No,49.99
305,TopOrder Master,Cascade Solutions,STORE DESIGN,2020-07-01,Yes,
306,UltimateInventory Plus,Ironwood Solutions,SEO,2021-01-13,No,99.99
307,TopPulse X,Northern Star Digital,Loyalty and Rewards,2022-12-11,Yes,
308,FreshPulse Flow,Ironwood Studios,Sales and Conversion,2023-04-29,No,9.99
309,QuickHub Plus,,orders and shipping,2022-08-12,No,99.99
310,EasyConnect 360,Cascade Group,Customer Support,2022-10-21,Yes,
311,BrilliantMind 360,Evergreen Software,Reporting and Analytics,2018-11-03,Yes,
312,FreshInventory Studio,Northern Star Solutions,Reporting and Analytics,2019-06-25,Yes,
313,QuickOrder Studio,Cascade Studios,Loyalty and Rewards,2021-05-31,No,19.99
314,AceShip Master,Vertex Tech,Inventory Management,2022-09-23,No,49.99
315,PrimeEdit Studio,Beacon Systems,Loyalty and Rewards,2021-08-15,Yes,
316,SleekBuild Pro,Peak Studios,Sales and Conversion,2019-09-30,No,19.99
317,PrimeEmail Master,Compass Labs,Inventory Management,2020-01-25,No,29.99
318,BoldPilot AI,Echo Digital,Loyalty and Rewards,2021-02-03,Yes,
319,MagicShip X,BlueRiver Studios,email marketing,2021-03-17,No,9.99
320,MegaPulse Pro,Helix Apps,search and navigation,2023-02-10,Yes,
321,MagicSearch X,Cascade Solutions,search and navigation,2019-06-01,Yes,
322,SmartPulse Lite,Atlas Group,Subscriptions,2021-05-01,No,14.99
323,SuperSearch Lite,Quantum Tech,Inventory Management,2021-09-05,No,49.99
324,BrilliantConnect Lite,Quantum Studios,Productivity,2018-02-22,No,14.99
325,TopEmail Flow,Compass Labs,Customer Support,2022-01-27,No,49.99
326,SleekSync App,Ironwood Group,STORE DESIGN,2019-08-25,Yes,
327,RapidOrder Lite,Quantum Software,orders and shipping,2019-12-29,Yes,
328,FreshSync AI,Nimbus Digital,Marketing,2022-11-10,No,29.99
329,TopPulse Studio,Evergreen Apps,email marketing,2022-10-16,Yes,
330,PrimeSales Master,Compass Studios,SEO,2018-06-15,No,49.99
331,QuickShip AI,Astra Labs,SEO,2022-05-04,Yes,
332,BrilliantHub Lite,Evergreen Systems,Reporting and Analytics,2023-05-31,No,4.99
333,SuperPulse Tool,Acme Apps,Subscriptions,2022-02-11,Yes,
334,FreshSync App,PixelPerfect Apps,Inventory Management,2023-04-27,Yes,
335,SuperHub Lite,Vanguard Solutions,search and navigation,2020-01-06,No,9.99
336,SmartMind 360,Echo Software,Customer Support,2021-12-27,No,4.99
337,RapidPilot Pro,Linear Apps,Subscriptions,2018-08-10,No,4.99
338,PowerShip Studio,Evergreen Software,Subscriptions,2020-12-01,Yes,
339,ProPulse Max,Linear Software,Inventory Management,2018-08-22,No,19.99
340,PowerBuild Max,Evergreen Tech,STORE DESIGN,2018-03-22,No,9.99
341,GeniusShip Pro,Ironwood Software,Sales and Conversion,2022-09-07,No,19.99
342,GeniusBox Studio,Astra Digital,Marketing,2018-07-24,No,99.99
343,SuperHub Max,Nimbus Software,email marketing,2022-04-02,No,4.99
344,PrimePilot Studio,Beacon Software,Customer Support,2022-07-28,Yes,
345,PrimeSearch X,Compass Digital,SEO,2020-05-13,No,99.99
346,MasterInventory X,GoldStandard Digital,SEO,2021-03-11,No,9.99
347,BrilliantShip Lite,Beacon Studios,search and navigation,2023-02-28,No,19.99
348,SleekMind Max,GoldStandard Labs,Subscriptions,2022-11-24,Yes,
349,ProHub Lite,Beacon Labs,search and navigation,2019-12-10,No,49.99
350,QuickShip Lite,Echo Group,email marketing,2020-08-19,No,99.99
351,SuperTrack Master,Astra Apps,REVIEWS AND RATINGS,2019-04-02,No,19.99
352,PrimeReview AI,Sundial Solutions,Sales and Conversion,2020-10-15,No,4.99
353,RapidStack Pro,PixelPerfect Tech,REVIEWS AND RATINGS,2021-02-25,Yes,
354,RapidPilot Flow,,Productivity,2020-07-15,Yes,
355,SuperBuild Lite,Vertex Group,REVIEWS AND RATINGS,2020-02-05,No,4.99
356,MegaInventory Studio,Linear Labs,orders and shipping,2018-09-05,No,19.99
357,MegaEmail Lite,Ironwood Software,SEO,2023-01-01,No,49.99
358,QuickStack X,GoldStandard Digital,REVIEWS AND RATINGS,2022-05-19,No,9.99
